Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
135		0.1402		0.3862		0.0000		0.6107		0.00018435
136		0.1421		0.4172		0.0000		0.6083		0.00018183
137		0.1432		0.4180		0.0000		0.6071		0.00017931
138		0.1376		0.3697		0.0000		0.6119		0.00017679
139		0.1362		0.3641		0.0000		0.6074		0.00017426
140		0.1342		0.3934		0.0000		0.6172		0.00017173
141		0.1355		0.3787		0.0000		0.6134		0.00016919
142		0.1337		0.3709		0.0000		0.6170		0.00016665
143		0.1319		0.3737		0.0000		0.6150		0.00016411
144		0.1329		0.3838		0.0000		0.6208		0.00016156
145		0.1334		0.3956		0.0000		0.6157		0.00015901
146		0.1338		0.4110		0.0000		0.6199		0.00015645
147		0.1343		0.3836		0.0000		0.6069		0.00015389
148		0.1301		0.3968		0.0000		0.6149		0.00015132
149		0.1314		0.3806		0.0000		0.6212		0.00014875
150		0.1342		0.3456		0.0000		0.6188		0.00014617
151		0.1298		0.3436		0.0000		0.6238		0.00014359
152		0.1308		0.3753		0.0000		0.6192		0.00014100
153		0.1277		0.3898		0.0000		0.6217		0.00013841
154		0.1294		0.4049		0.0000		0.6173		0.00013581
155		0.1290		0.3863		0.0000		0.6208		0.00013321
156		0.1270		0.3893		0.0000		0.6219		0.00013060
157		0.1251		0.3725		0.0000		0.6225		0.00012798
158		0.1240		0.4015		0.0000		0.6228		0.00012536
159		0.1245		0.3821		0.0000		0.6177		0.00012273
160		0.1382		0.3521		0.0000		0.6132		0.00012010
161		0.1394		0.3840		0.0000		0.6184		0.00011746
162		0.1288		0.3786		0.0000		0.6216		0.00011482
163		0.1337		0.3993		0.0000		0.6199		0.00011216
164		0.1320		0.3945		0.0000		0.6217		0.00010950
165		0.1261		0.3668		0.0000		0.6238		0.00010684
166		0.1243		0.3822		0.0000		0.6198		0.00010416
167		0.1246		0.3758		0.0000		0.6270		0.00010148
168		0.1217		0.3797		0.0000		0.6190		0.00009879
169		0.1224		0.3804		0.0000		0.6246		0.00009609
170		0.1211		0.3567		0.0000		0.6244		0.00009338
171		0.1225		0.3902		0.0000		0.6260		0.00009067
