Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
12		0.7802		0.8057		0.0000		0.4217		0.00047518
13		0.7614		0.8399		0.0000		0.4471		0.00047292
14		0.7413		0.7080		0.0000		0.4810		0.00047065
15		0.7345		0.7942		0.0000		0.4836		0.00046839
16		0.7114		0.6823		0.0000		0.4703		0.00046612
17		0.6782		0.6559		0.0000		0.4914		0.00046385
18		0.6763		0.6597		0.0000		0.4831		0.00046158
19		0.6713		0.6528		0.0000		0.4818		0.00045931
20		0.6439		0.6380		0.0000		0.5041		0.00045704
21		0.6370		0.6884		0.0000		0.4986		0.00045477
1		1.6951		1.6234		0.0000		0.2059		0.00050000
2		1.2125		1.3294		0.0000		0.2656		0.00049775
3		1.0742		1.1795		0.0000		0.3562		0.00049550
4		0.9871		1.1080		0.0000		0.3578		0.00049324
5		0.9436		0.9554		0.0000		0.3886		0.00049099
6		0.8888		0.8743		0.0000		0.3970		0.00048874
7		0.8424		0.7502		0.0000		0.4305		0.00048648
8		0.7948		0.8027		0.0000		0.4151		0.00048422
9		0.7659		0.7848		0.0000		0.4214		0.00048196
1		2.0523		1.8280		0.0000		0.2051		0.00050000
2		1.5718		1.3398		0.0000		0.3099		0.00049775
3		1.4242		1.2594		0.0000		0.3410		0.00049550
4		1.3068		1.2974		0.0000		0.3210		0.00049324
5		1.2387		1.2029		0.0000		0.3100		0.00049099
6		1.1898		1.1384		0.0000		0.3599		0.00048874
7		1.1098		0.9018		0.0000		0.3780		0.00048648
8		1.0700		0.9352		0.0000		0.3857		0.00048422
9		1.0070		0.9692		0.0000		0.3937		0.00048196
10		0.9515		0.7235		0.0000		0.3969		0.00047970
11		0.9346		0.8046		0.0000		0.4339		0.00047744
12		0.8849		0.9627		0.0000		0.4170		0.00047518
13		0.8583		1.1642		0.0000		0.4107		0.00047292
14		0.8335		0.7545		0.0000		0.4275		0.00047065
15		0.7971		0.6144		0.0000		0.4072		0.00046839
16		0.7870		0.7977		0.0000		0.4223		0.00046612
17		0.7338		0.8412		0.0000		0.4204		0.00046385
18		0.7002		0.7399		0.0000		0.4171		0.00046158
19		0.7161		0.7289		0.0000		0.4606		0.00045931
20		0.6939		0.6258		0.0000		0.4635		0.00045704
21		0.6697		0.7295		0.0000		0.4433		0.00045477
22		0.6483		0.7635		0.0000		0.4248		0.00045249
23		0.6153		0.8342		0.0000		0.4153		0.00045022
24		0.5829		0.6412		0.0000		0.4545		0.00044794
25		0.5765		0.7281		0.0000		0.4490		0.00044566
26		0.5673		0.6437		0.0000		0.4312		0.00044338
27		0.5517		0.5837		0.0000		0.4801		0.00044110
28		0.5485		0.8552		0.0000		0.4457		0.00043882
29		0.5337		0.6447		0.0000		0.4616		0.00043653
30		0.5356		0.5611		0.0000		0.4498		0.00043425
31		0.5675		0.6046		0.0000		0.4382		0.00043196
32		0.5518		0.5554		0.0000		0.4578		0.00042968
33		0.5095		0.5027		0.0000		0.4672		0.00042739
34		0.4907		0.7455		0.0000		0.4662		0.00042510
35		0.4833		0.6140		0.0000		0.4661		0.00042281
36		0.4566		0.8012		0.0000		0.4745		0.00042051
37		0.4545		0.5995		0.0000		0.4776		0.00041822
38		0.4555		0.5622		0.0000		0.4733		0.00041592
39		0.4409		0.6069		0.0000		0.4768		0.00041362
40		0.4309		0.5547		0.0000		0.4768		0.00041133
41		0.4150		0.5626		0.0000		0.4688		0.00040903
42		0.4649		0.6354		0.0000		0.4771		0.00040672
43		0.4424		0.6513		0.0000		0.4801		0.00040442
44		0.4246		0.6766		0.0000		0.4808		0.00040212
45		0.4105		0.5496		0.0000		0.4884		0.00039981
46		0.3932		0.5514		0.0000		0.4870		0.00039750
47		0.3888		0.5519		0.0000		0.4857		0.00039520
48		0.3725		0.6503		0.0000		0.4781		0.00039288
49		0.3639		0.5877		0.0000		0.4879		0.00039057
50		0.4313		0.6665		0.0000		0.4849		0.00038826
51		0.3771		0.6202		0.0000		0.4866		0.00038594
52		0.3668		0.5519		0.0000		0.4885		0.00038363
53		0.3567		0.6503		0.0000		0.4840		0.00038131
54		0.3496		0.7263		0.0000		0.5044		0.00037899
55		0.3428		0.6615		0.0000		0.4975		0.00037667
56		0.3193		0.6565		0.0000		0.4885		0.00037435
57		0.3107		0.6040		0.0000		0.5151		0.00037202
58		0.3121		0.6076		0.0000		0.5067		0.00036970
59		0.3046		0.7624		0.0000		0.5090		0.00036737
60		0.3089		0.6494		0.0000		0.5054		0.00036504
61		0.2977		0.6127		0.0000		0.4919		0.00036271
62		0.3070		0.5676		0.0000		0.5174		0.00036038
63		0.3048		0.6037		0.0000		0.5054		0.00035804
64		0.2975		0.8002		0.0000		0.4946		0.00035571
65		0.2901		0.6044		0.0000		0.5020		0.00035337
66		0.2971		0.5215		0.0000		0.5118		0.00035103
67		0.2852		0.5738		0.0000		0.4953		0.00034869
68		0.2858		0.6299		0.0000		0.5130		0.00034635
69		0.2984		0.5550		0.0000		0.5053		0.00034400
